tanggal,judul,link
2020-12-21,[SALAH] Jokowi Akan Menggunakan Vaksin Pfizer dan Vaksin Sinovac Untuk Masyarakat,https://covid19.go.id/p/hoax-buster/salah-jokowi-akan-menggunakan-vaksin-pfizer-dan-vaksin-sinovac-untuk-masyarakat
2020-12-20,[SALAH] Kerumunan Gibran Bebas Hukuman karena Dilindungi Undang-Undang,https://covid19.go.id/p/hoax-buster/salah-kerumunan-gibran-bebas-hukuman-karena-dilindungi-undang-undang
2020-12-20,"[SALAH] Video Perawat Pingsan Setelah Mendapat Vaksin Covid-19, Potensi Genosida Massal",https://covid19.go.id/p/hoax-buster/salah-video-perawat-pingsan-setelah-mendapat-vaksin-covid-19-potensi-genosida-massal
2020-12-20,[SALAH] Kebijakan Lockdown dan Menjaga Jarak Merupakan Strategi untuk Mencegah Revolusi,https://covid19.go.id/p/hoax-buster/salah-kebijakan-lockdown-dan-menjaga-jarak-merupakan-strategi-untuk-mencegah-revolusi
2020-12-20,[SALAH] Foto Bupati Gowa dengan Narasi Lockdown Tanggal 19-27 Desember,https://covid19.go.id/p/hoax-buster/salah-foto-bupati-gowa-dengan-narasi-lockdown-tanggal-19-27-desember
2020-12-18,[SALAH] Vaksin yang disimpan -80 Derajat Bukanlah Vaksin Melainkan Agen Transfeksi yang Dapat Memanipulasi Genetika Manusia,https://covid19.go.id/p/hoax-buster/salah-vaksin-yang-disimpan-80-derajat-bukanlah-vaksin-melainkan-agen-transfeksi-yang-dapat-memanipulasi-genetika-manusia
2020-12-18,[SALAH] Singapura Membuka Vaccine Tourism dan Melakukan Vaksinasi di Bandara Changi,https://covid19.go.id/p/hoax-buster/salah-singapura-membuka-vaccine-tourism-dan-melakukan-vaksinasi-di-bandara-changi
2020-12-17,[SALAH] Foto “4 Orang Alami Kelumpuhan Wajah Setelah Disuntik Vaksin Corona”,https://covid19.go.id/p/hoax-buster/salah-foto-4-orang-alami-kelumpuhan-wajah-setelah-disuntik-vaksin-corona
2020-12-17,"[SALAH] Klaster Supermarket Sendy’s, 28 Pegawai dan Pemilik Swab",https://covid19.go.id/p/hoax-buster/salah-klaster-supermarket-sendys-28-pegawai-dan-pemilik-swab
2020-12-17,[SALAH] Kota Manado Zona Hitam Covid-19,https://covid19.go.id/p/hoax-buster/salah-kota-manado-zona-hitam-covid-19
2020-12-17,[SALAH] Kandungan Formaldehida pada Vaksin Menyebabkan Leukimia pada Anak,https://covid19.go.id/p/hoax-buster/salah-kandungan-formaldehida-pada-vaksin-menyebabkan-leukimia-pada-anak
2020-12-15,[SALAH] “IDI tolak yg Pertama dpt Vaksin Sinovac China”,https://covid19.go.id/p/hoax-buster/salah-idi-tolak-yg-pertama-dpt-vaksin-sinovac-china
2020-12-15,[SALAH] 44 Orang Tenaga Kesehatan Positif Covid di RS Tipe B Parepare,https://covid19.go.id/p/hoax-buster/salah-44-orang-tenaga-kesehatan-positif-covid-di-rs-tipe-b-parepare
2020-12-15,[SALAH] Foto Keluarga CEO BioNTech,https://covid19.go.id/p/hoax-buster/salah-foto-keluarga-ceo-biontech
2020-12-14,[SALAH] Imbauan Kapolresta Solo Tentang Karantina Bagi Pendatang Mulai Tanggal 15 Desember 2020,https://covid19.go.id/p/hoax-buster/salah-imbauan-kapolresta-solo-tentang-karantina-bagi-pendatang-mulai-tanggal-15-desember-2020
2020-12-14,[SALAH] “Himbauan Bpk Kapolresta Malang Siapapun yg Bukan Orang Malang klo Ada yg Masuk Ke kota Akan Dikarantina Selama 14 hri”,https://covid19.go.id/p/hoax-buster/salah-himbauan-bpk-kapolresta-malang-siapapun-yg-bukan-orang-malang-klo-ada-yg-masuk-ke-kota-akan-dikarantina-selama-14-hri
2020-12-13,[SALAH] Video Konvoi Kemenangan Plat AD Tidak Patuhi Protokol Kesehatan,https://covid19.go.id/p/hoax-buster/salah-video-konvoi-kemenangan-plat-ad-tidak-patuhi-protokol-kesehatan
2020-12-13,"[SALAH] Konsumsi Campuran Air Kelapa, Jeruk Nipis, Garam dan Madu Dapat Menyembuhkan Covid-19",https://covid19.go.id/p/hoax-buster/salah-konsumsi-campuran-air-kelapa-jeruk-nipis-garam-dan-madu-dapat-menyembuhkan-covid-19
2020-12-13,[SALAH] Satu RT di Ciracas Terkena Covid-19,https://covid19.go.id/p/hoax-buster/salah-satu-rt-di-ciracas-terkena-covid-19
2020-12-13,[SALAH] Pendaftaran Relawan COVID-19 di Wisma Atlet,https://covid19.go.id/p/hoax-buster/salah-pendaftaran-relawan-covid-19-di-wisma-atlet
2020-12-12,[SALAH] Ketua Tim Peneliti Pfizer: Vaksin Covid-19 Dapat Menyebabkan Kemandulan bagi Perempuan,https://covid19.go.id/p/hoax-buster/salah-ketua-tim-peneliti-pfizer-vaksin-covid-19-dapat-menyebabkan-kemandulan-bagi-perempuan
